Fecha,Presion,UnixTime,Cuentas,Cuentas_corr
2026-03-11 13:15:00,984.3164999999999,1773235350.8909888,167.89803420752565,166.29104040243303
2026-03-11 13:30:00,984.0692888888889,1773236251.0231087,166.36688939566704,164.69310249510391
2026-03-11 13:45:00,983.5623222222223,1773237151.136616,167.17033295324973,165.32075352242845
2026-03-11 14:00:00,983.2563485016648,1773238050.6932685,167.1853735763098,165.23448197220122
2026-03-11 14:15:00,982.9378777777778,1773238950.9772706,167.77671607753706,165.71334076159326
2026-03-11 14:30:00,982.8377888888889,1773239850.620321,167.02950684931506,164.94229987949473
2026-03-11 14:45:00,982.5787764182425,1773240750.6013942,166.64469292237442,164.47706930510984
2026-03-11 15:00:00,982.2705666666667,1773241650.2946143,167.81249144811858,165.527611839445
2026-03-11 15:15:00,982.0724888888889,1773242550.4394386,167.34768757126568,165.00375647477426
2026-03-11 15:30:00,981.7839666666666,1773243450.52162,167.6607491448119,165.21706809325354
2026-03-11 15:45:00,981.4246888888889,1773244350.6309364,168.16038768529077,165.5903956676339
2026-03-11 16:00:00,980.7895666666667,1773245250.7268167,167.81499087799315,165.04050256715234
2026-03-11 16:15:00,980.0060888888889,1773246150.8325567,168.34759977194983,165.30507707272358
2026-03-11 16:30:00,979.5633888888889,1773247050.9359756,167.97148232611173,164.78978765589733
2026-03-11 16:45:00,979.6012111111111,1773247950.9896677,168.3050456100342,165.12952328471195
2026-03-11 17:00:00,979.7308,1773248851.066072,168.15742531356898,165.02745414437612
2026-03-11 17:15:00,979.8840444444445,1773249750.660541,168.40518378995432,165.3212623742862
2026-03-11 17:30:00,980.1809,1773250650.1968734,168.80597947548463,165.81313436733478
2026-03-11 17:45:00,980.2064999999999,1773251550.2752788,169.14643329532495,166.15605908463942
2026-03-11 18:00:00,980.3889123196449,1773252450.1931062,167.11864350797265,164.22402104724145
2026-03-11 18:15:00,980.2271412680757,1773253350.7012835,168.4997397260274,165.52763180193296
2026-03-11 18:30:00,979.9290444444445,1773254250.4375548,168.01621322690994,164.9542600534734
2026-03-11 18:45:00,979.8893222222223,1773255150.4417436,168.61662029646524,165.53057420585455
2026-03-11 19:00:00,980.0338734739179,1773256050.9840329,168.7377175398633,165.69735170509742
2026-03-11 19:15:00,980.1395555555556,1773256950.7052636,168.39093500570127,165.39177179995067
2026-03-11 19:30:00,980.0794333333333,1773257850.8271008,168.7077377423033,165.68300839369354
2026-03-11 19:45:00,979.9192222222222,1773258750.8386407,168.83160889395666,165.75153969624688
2026-03-11 20:00:00,979.9430478309233,1773259651.1866155,169.6200993150685,166.53358067906618
2026-03-11 20:15:00,980.0980555555557,1773260550.8439426,168.59159977194983,165.5751192776953
2026-03-11 20:30:00,980.0512555555556,1773261450.936318,168.64505473204105,165.61211578956636
2026-03-11 20:45:00,980.1235,1773262350.8579133,168.48849258836944,165.48227790704078
2026-03-11 21:00:00,980.1294450610433,1773263250.2628398,168.70719498289623,165.6990483278352
2026-03-11 21:15:00,980.0789444444445,1773264150.399037,168.25417559863172,165.2374165149692
2026-03-11 21:30:00,980.0350500556174,1773265050.3192139,168.97317694063926,165.92895898661524
2026-03-11 21:45:00,979.9293666666666,1773265950.2088451,168.45669441277082,165.38682042540034
2026-03-11 22:00:00,979.9122752497226,1773266850.1806455,167.9060284738041,164.84055474473408
2026-03-11 22:15:00,979.8523777777777,1773267750.7644885,168.03217901938424,164.9446414321019
2026-03-11 22:30:00,979.8315666666666,1773268650.8462844,167.95513797035346,164.86215391571247
2026-03-11 22:45:00,979.8430478309233,1773269550.9105175,168.46155251141553,165.3630396379104
2026-03-11 23:00:00,979.6470333333334,1773270450.6010058,168.86653591790193,165.69560397030932
2026-03-11 23:15:00,979.6972999999999,1773271350.6961095,168.48934321550743,165.3421156530054
2026-03-11 23:30:00,979.7331666666666,1773272250.7041433,168.07050741163056,164.94293480285864
2026-03-11 23:45:00,979.6975333333332,1773273150.591081,169.08625541619156,165.92795551015266
2026-03-12 00:00:00,979.595538290788,1773274050.0995066,168.5427765108324,165.36089262386758
2026-03-12 00:15:00,979.4423555555555,1773274950.251762,168.63288483466363,165.39861962261884
2026-03-12 00:30:00,979.3031222222221,1773275850.3249562,169.74184948688713,166.43996064451386
2026-03-12 00:45:00,979.2381312569522,1773276750.6155965,170.26379361459522,166.93005239791358
2026-03-12 01:00:00,979.2424777777778,1773277651.0314555,167.68132611174457,164.39957837300915
2026-03-12 01:15:00,979.3199000000001,1773278550.6846983,169.16663698630134,165.88150356863096
2026-03-12 01:30:00,979.2681333333334,1773279450.2128022,170.28440935005702,166.960282489896
2026-03-12 01:45:00,979.4887666666666,1773280350.3154535,168.13685404789055,164.92741059069556
2026-03-12 02:00:00,979.4848168701443,1773281250.2676167,167.67448232611176,164.47256547863927
2026-03-12 02:15:00,979.4973526140155,1773282150.200651,168.2591220068415,165.05017886448886
2026-03-12 02:30:00,979.4530111111111,1773283050.3204267,168.15939908779933,164.93772998247763
2026-03-12 02:45:00,979.2987888888889,1773283950.3734565,168.9777685290764,165.68930692611687
2026-03-12 03:00:00,979.3000776914539,1773284850.349315,169.48196583143508,166.184120445276
2026-03-12 03:15:00,979.1821000000001,1773285750.8473294,169.37830330672747,166.04329159487497
2026-03-12 03:30:00,979.1969333333333,1773286650.9082193,168.62929532497148,165.3139356127626
2026-03-12 03:45:00,979.0934816462736,1773287550.83284,168.87155479452053,165.51718249972797
2026-03-12 04:00:00,979.0153666666666,1773288450.569967,167.72553135689853,164.36824179574583
2026-03-12 04:15:00,979.0146000000001,1773289350.622406,168.18607639680732,164.8193155812443
2026-03-12 04:30:00,979.0577222222222,1773290250.6493444,168.61702850627137,165.2558926488661
2026-03-12 04:45:00,979.005911111111,1773291150.4424803,168.77281870011402,165.3914382748411
2026-03-12 05:00:00,979.1002441731409,1773292050.5348523,168.43464464692482,165.09118374861254
2026-03-12 05:15:00,979.1178666666667,1773292951.0413356,169.0973945267959,165.74661954724104
2026-03-12 05:30:00,979.1962222222223,1773293850.662197,168.50383219178082,165.19070422689288
2026-03-12 05:45:00,979.301288888889,1773294750.2815776,168.3415849486887,165.06632938843708
2026-03-12 06:00:00,979.3867666666666,1773295651.1470945,168.37497149372862,165.12729337984865
2026-03-12 06:15:00,979.4185333333334,1773296550.4824564,168.90153477765108,165.6542243490387
2026-03-12 06:30:00,979.6065,1773297450.5664895,168.4151835803877,165.23933106500138
2026-03-12 06:45:00,979.8752725250279,1773298350.472183,168.31594634703197,165.2307602855688
2026-03-12 07:00:00,980.0782222222223,1773299250.2867327,168.49125883694413,165.47000989235582
2026-03-12 07:15:00,980.2711333333333,1773300150.4252715,168.2446100342075,165.29154464651447
