data,TempoEpochUTC,Contagem,Contagem_corr
2026-01-03 09:30:00+00:00,1767432600,1879.2,1869.64
2026-01-03 09:45:00+00:00,1767433500,1875.6,1866.45
2026-01-03 10:00:00+00:00,1767434400,1872.0,1863.26
2026-01-03 10:15:00+00:00,1767435300,1872.0,1863.62
2026-01-03 10:30:00+00:00,1767436200,1872.0,1863.97
2026-01-03 10:45:00+00:00,1767437100,1872.0,1864.29
2026-01-03 11:00:00+00:00,1767438000,1872.0,1864.61
2026-01-03 11:15:00+00:00,1767438900,1872.0,1864.9
2026-01-03 11:30:00+00:00,1767439800,1872.0,1865.19
2026-01-03 11:45:00+00:00,1767440700,1872.0,1865.46
2026-01-03 12:00:00+00:00,1767441600,1872.0,1865.74
2026-01-03 12:15:00+00:00,1767442500,1875.6,1869.6
2026-01-03 12:30:00+00:00,1767443400,1879.2,1873.47
2026-01-03 12:45:00+00:00,1767444300,1882.8,1877.34
2026-01-03 13:00:00+00:00,1767445200,1886.4,1881.22
2026-01-03 13:15:00+00:00,1767446100,1882.8,1877.94
2026-01-03 13:30:00+00:00,1767447000,1879.2,1874.66
2026-01-03 13:45:00+00:00,1767447900,1879.2,1874.98
2026-01-03 14:00:00+00:00,1767448800,1879.2,1875.3
2026-01-03 14:15:00+00:00,1767449700,1872.0,1868.44
2026-01-03 14:30:00+00:00,1767450600,1864.8,1861.57
2026-01-03 14:45:00+00:00,1767451500,1872.0,1869.06
2026-01-03 15:00:00+00:00,1767452400,1879.2,1876.55
2026-01-03 15:15:00+00:00,1767453300,1875.6,1873.2
2026-01-03 15:30:00+00:00,1767454200,1872.0,1869.85
2026-01-03 15:45:00+00:00,1767455100,1875.6,1873.62
2026-01-03 16:00:00+00:00,1767456000,1879.2,1877.38
2026-01-03 16:15:00+00:00,1767456900,1875.6,1873.86
2026-01-03 16:30:00+00:00,1767457800,1872.0,1870.33
2026-01-03 16:45:00+00:00,1767458700,1872.0,1870.29
2026-01-03 17:00:00+00:00,1767459600,1872.0,1870.25
2026-01-03 17:15:00+00:00,1767460500,1875.6,1873.72
2026-01-03 17:30:00+00:00,1767461400,1879.2,1877.19
2026-01-03 17:45:00+00:00,1767462300,1872.0,1869.8
2026-01-03 18:00:00+00:00,1767463200,1864.8,1862.41
2026-01-03 18:15:00+00:00,1767464100,1868.4,1865.78
2026-01-03 18:30:00+00:00,1767465000,1872.0,1869.15
2026-01-03 18:45:00+00:00,1767465900,1875.6,1872.54
2026-01-03 19:00:00+00:00,1767466800,1879.2,1875.94
2026-01-03 19:15:00+00:00,1767467700,1872.0,1868.61
2026-01-03 19:30:00+00:00,1767468600,1864.8,1861.28
2026-01-03 19:45:00+00:00,1767469500,1872.0,1868.42
2026-01-03 20:00:00+00:00,1767470400,1879.2,1875.57
2026-01-03 20:15:00+00:00,1767471300,1875.6,1872.05
2026-01-03 20:30:00+00:00,1767472200,1872.0,1868.53
2026-01-03 20:45:00+00:00,1767473100,1868.4,1865.12
2026-01-03 21:00:00+00:00,1767474000,1864.8,1861.7
2026-01-03 21:15:00+00:00,1767474900,1868.4,1865.57
2026-01-03 21:30:00+00:00,1767475800,1872.0,1869.44
2026-01-03 21:45:00+00:00,1767476700,1868.4,1866.18
2026-01-03 22:00:00+00:00,1767477600,1864.8,1862.92
2026-01-03 22:15:00+00:00,1767478500,1864.8,1863.28
2026-01-03 22:30:00+00:00,1767479400,1864.8,1863.65
2026-01-03 22:45:00+00:00,1767480300,1868.4,1867.6
2026-01-03 23:00:00+00:00,1767481200,1872.0,1871.56
2026-01-03 23:15:00+00:00,1767482100,1868.4,1868.28
2026-01-03 23:30:00+00:00,1767483000,1864.8,1865.01
2026-01-03 23:45:00+00:00,1767483900,1857.6,1858.08
2026-01-04 00:00:00+00:00,1767484800,1850.4,1851.15
2026-01-04 00:15:00+00:00,1767485700,1864.8,1865.78
2026-01-04 00:30:00+00:00,1767486600,1879.2,1880.4
2026-01-04 00:45:00+00:00,1767487500,1872.0,1873.36
2026-01-04 01:00:00+00:00,1767488400,1864.8,1866.31
2026-01-04 01:15:00+00:00,1767489300,1868.4,1870.04
2026-01-04 01:30:00+00:00,1767490200,1872.0,1873.77
2026-01-04 01:45:00+00:00,1767491100,1861.2,1863.06
2026-01-04 02:00:00+00:00,1767492000,1850.4,1852.34
2026-01-04 02:15:00+00:00,1767492900,1850.4,1852.43
2026-01-04 02:30:00+00:00,1767493800,1850.4,1852.52
2026-01-04 02:45:00+00:00,1767494700,1854.0,1856.23
2026-01-04 03:00:00+00:00,1767495600,1857.6,1859.94
2026-01-04 03:15:00+00:00,1767496500,1861.2,1863.68
2026-01-04 03:30:00+00:00,1767497400,1864.8,1867.42
2026-01-04 03:45:00+00:00,1767498300,1864.8,1867.6
2026-01-04 04:00:00+00:00,1767499200,1864.8,1867.78
2026-01-04 04:15:00+00:00,1767500100,1872.0,1875.24
2026-01-04 04:30:00+00:00,1767501000,1879.2,1882.69
2026-01-04 04:45:00+00:00,1767501900,1872.0,1875.78
2026-01-04 05:00:00+00:00,1767502800,1864.8,1868.87
2026-01-04 05:15:00+00:00,1767503700,1861.2,1865.62
2026-01-04 05:30:00+00:00,1767504600,1857.6,1862.37
2026-01-04 05:45:00+00:00,1767505500,1868.4,1873.61
2026-01-04 06:00:00+00:00,1767506400,1879.2,1884.85
2026-01-04 06:15:00+00:00,1767507300,1861.2,1867.22
2026-01-04 06:30:00+00:00,1767508200,1843.2,1849.59
2026-01-04 06:45:00+00:00,1767509100,1857.6,1864.48
2026-01-04 07:00:00+00:00,1767510000,1872.0,1879.36
2026-01-04 07:15:00+00:00,1767510900,1864.8,1872.54
2026-01-04 07:30:00+00:00,1767511800,1857.6,1865.73
2026-01-04 07:45:00+00:00,1767512700,1857.6,1866.12
2026-01-04 08:00:00+00:00,1767513600,1857.6,1866.51
2026-01-04 08:15:00+00:00,1767514500,1850.4,1859.63
2026-01-04 08:30:00+00:00,1767515400,1843.2,1852.75
2026-01-04 08:45:00+00:00,1767516300,1854.0,1863.94
2026-01-04 09:00:00+00:00,1767517200,1864.8,1875.13
2026-01-04 09:15:00+00:00,1767518100,1861.2,1871.84
2026-01-04 09:30:00+00:00,1767519000,1857.6,1868.54
2026-01-04 09:45:00+00:00,1767519900,1861.2,1872.5
2026-01-04 10:00:00+00:00,1767520800,1864.8,1876.45
2026-01-04 10:15:00+00:00,1767521700,1861.2,1873.18
2026-01-04 10:30:00+00:00,1767522600,1857.6,1869.92
2026-01-04 10:45:00+00:00,1767523500,1857.6,1870.3
2026-01-04 11:00:00+00:00,1767524400,1857.6,1870.69
2026-01-04 11:15:00+00:00,1767525300,1854.0,1867.48
2026-01-04 11:30:00+00:00,1767526200,1850.4,1864.26
2026-01-04 11:45:00+00:00,1767527100,1854.0,1868.3
2026-01-04 12:00:00+00:00,1767528000,1857.6,1872.35
2026-01-04 12:15:00+00:00,1767528900,1861.2,1876.38
2026-01-04 12:30:00+00:00,1767529800,1864.8,1880.42
2026-01-04 12:45:00+00:00,1767530700,1864.8,1880.78
2026-01-04 13:00:00+00:00,1767531600,1864.8,1881.15
2026-01-04 13:15:00+00:00,1767532500,1861.2,1877.82
2026-01-04 13:30:00+00:00,1767533400,1857.6,1874.48
2026-01-04 13:45:00+00:00,1767534300,1857.6,1874.68
2026-01-04 14:00:00+00:00,1767535200,1857.6,1874.88
2026-01-04 14:15:00+00:00,1767536100,1861.2,1878.61
2026-01-04 14:30:00+00:00,1767537000,1864.8,1882.34
2026-01-04 14:45:00+00:00,1767537900,1864.8,1882.32
2026-01-04 15:00:00+00:00,1767538800,1864.8,1882.31
2026-01-04 15:15:00+00:00,1767539700,1868.4,1885.81
2026-01-04 15:30:00+00:00,1767540600,1872.0,1889.31
2026-01-04 15:45:00+00:00,1767541500,1868.4,1885.44
2026-01-04 16:00:00+00:00,1767542400,1864.8,1881.57
2026-01-04 16:15:00+00:00,1767543300,1861.2,1877.62
2026-01-04 16:30:00+00:00,1767544200,1857.6,1873.67
2026-01-04 16:45:00+00:00,1767545100,1861.2,1876.92
2026-01-04 17:00:00+00:00,1767546000,1864.8,1880.18
2026-01-04 17:15:00+00:00,1767546900,1857.6,1872.52
2026-01-04 17:30:00+00:00,1767547800,1850.4,1864.85
2026-01-04 17:45:00+00:00,1767548700,1854.0,1868.08
2026-01-04 18:00:00+00:00,1767549600,1857.6,1871.3
2026-01-04 18:15:00+00:00,1767550500,1857.6,1870.92
