data,timeEpochUTC_sec,rate_Hz,pressao_mbar,rate_corrigido_Hz
2026-01-06 08:45:00,1767689100.0,1927.1600,947.0987,1932.8365
2026-01-06 09:15:00,1767690900.0,1923.0017,947.3554,1929.5515
2026-01-06 09:45:00,1767692700.0,1924.4000,947.5785,1931.7250
2026-01-06 10:15:00,1767694500.0,1929.1383,947.9285,1937.6936
2026-01-06 10:45:00,1767696300.0,1922.3467,948.1510,1931.6401
2026-01-06 11:15:00,1767698100.0,1916.3533,948.3727,1926.3812
2026-01-06 11:45:00,1767699900.0,1908.7300,948.4821,1919.0932
2026-01-06 12:15:00,1767701700.0,1912.7883,948.3504,1922.7207
2026-01-06 12:45:00,1767703500.0,1913.8133,948.2187,1923.2982
2026-01-06 13:15:00,1767705300.0,1914.4367,948.0806,1923.4495
2026-01-06 13:45:00,1767707100.0,1912.7950,947.8353,1920.9575
2026-01-06 14:15:00,1767708900.0,1926.9400,947.5715,1934.2502
2026-01-06 14:45:00,1767710700.0,1940.6167,947.4263,1947.4731
2026-01-06 15:15:00,1767712500.0,1938.8650,947.3656,1945.5043
2026-01-06 17:15:00,1767719700.0,1942.8480,946.4044,1946.1534
2026-01-06 17:45:00,1767721500.0,1951.8400,946.0181,1953.8108
2026-01-06 18:15:00,1767723300.0,1951.2600,945.5821,1951.7082
2026-01-06 18:45:00,1767725100.0,1947.1183,945.1706,1946.1332
2026-01-06 19:15:00,1767726900.0,1929.1150,944.8608,1927.0713
2026-01-06 19:45:00,1767728700.0,1943.5000,944.6941,1940.8624
2026-01-06 20:15:00,1767730500.0,1943.9450,944.6753,1941.2415
2026-01-06 20:45:00,1767732300.0,1942.6467,944.8916,1940.6953
2026-01-06 21:15:00,1767734100.0,1932.8633,944.9033,1930.9621
2026-01-06 21:45:00,1767735900.0,1924.2933,945.1749,1923.3345
2026-01-06 22:15:00,1767737700.0,1911.2320,945.3987,1911.0442
2026-01-06 22:45:00,1767739500.0,1901.2533,945.8809,1902.7062
2026-01-06 23:15:00,1767741300.0,1899.0433,946.3902,1902.2259
2026-01-06 23:45:00,1767743100.0,1897.0683,946.6477,1901.1227
2026-01-07 00:15:00,1767744900.0,1900.8900,947.0100,1906.1869
2026-01-07 00:45:00,1767746700.0,1897.6417,947.5658,1904.8214
2026-01-07 01:15:00,1767748500.0,1898.0417,947.7961,1906.0075
2026-01-07 01:45:00,1767750300.0,1896.5150,947.7891,1904.4507
2026-01-07 02:15:00,1767752100.0,1898.8000,947.7563,1906.6336
2026-01-07 02:45:00,1767753900.0,1896.5150,947.6857,1904.0988
2026-01-07 03:15:00,1767755700.0,1898.6417,947.4900,1905.5671
2026-01-07 03:45:00,1767757500.0,1899.2383,947.2628,1905.3916
2026-01-07 04:15:00,1767759300.0,1897.2150,947.1352,1902.9276
2026-01-07 04:45:00,1767761100.0,1897.3117,946.9773,1902.4872
2026-01-07 05:15:00,1767762900.0,1897.1483,946.8347,1901.8386
2026-01-07 05:45:00,1767764700.0,1889.4650,946.7643,1893.8980
2026-01-07 06:15:00,1767766500.0,1877.5900,946.7457,1881.9324
2026-01-07 06:45:00,1767768300.0,1865.4717,946.9519,1870.4754
2026-01-07 07:15:00,1767770100.0,1842.0650,947.0236,1847.2427
2026-01-07 07:45:00,1767771900.0,1821.1867,947.1222,1826.6279
2026-01-07 08:15:00,1767773700.0,1834.3725,947.4864,1841.0516
2026-01-07 08:45:00,1767775500.0,1805.3460,947.6634,1812.4930
2026-01-07 09:15:00,1767777300.0,1849.8500,947.9088,1857.9881
2026-01-07 09:45:00,1767779100.0,1853.4667,948.2609,1862.7930
2026-01-07 10:15:00,1767780900.0,1854.7083,948.4780,1864.7645
2026-01-07 10:45:00,1767782700.0,1868.1980,948.6629,1878.9485
2026-01-07 11:15:00,1767784500.0,1812.6333,948.9420,1823.9740
2026-01-07 11:45:00,1767786300.0,1804.6117,949.0381,1816.2141
2026-01-07 12:15:00,1767788100.0,1826.6867,949.1099,1838.6673
2026-01-07 12:45:00,1767789900.0,1825.7650,949.0458,1837.5290
2026-01-07 13:15:00,1767791700.0,1804.1850,949.0379,1815.7842
2026-01-07 13:45:00,1767793500.0,1841.9000,948.9259,1853.3706
2026-01-07 14:15:00,1767795300.0,1858.3950,948.7693,1869.4446
2026-01-07 15:15:00,1767798900.0,1880.0040,948.3295,1889.6958
2026-01-07 15:45:00,1767800700.0,1887.8283,948.1216,1896.8552
2026-01-07 16:15:00,1767802500.0,1889.7717,947.7863,1897.6696
2026-01-07 16:45:00,1767804300.0,1877.3867,947.3960,1883.9176
2026-01-07 17:15:00,1767806100.0,1885.1783,947.0577,1890.5928
2026-01-07 17:45:00,1767807900.0,1890.8883,946.7590,1895.3064
2026-01-07 18:15:00,1767809700.0,1895.6350,946.2930,1898.4818
2026-01-07 18:45:00,1767811500.0,1896.9567,945.7100,1897.8263
2026-01-07 19:15:00,1767813300.0,1881.3450,945.2798,1880.7603
2026-01-07 19:45:00,1767815100.0,1872.8533,945.1147,1871.7186
2026-01-07 20:15:00,1767816900.0,1867.6900,945.1454,1866.6608
2026-01-07 20:45:00,1767818700.0,1872.2400,945.1013,1871.0607
2026-01-07 21:15:00,1767820500.0,1873.1000,945.3358,1872.7052
2026-01-07 21:45:00,1767822300.0,1869.3100,945.6191,1869.8630
2026-01-07 22:15:00,1767824100.0,1868.9683,946.2213,1871.5353
2026-01-07 22:45:00,1767825900.0,1836.5720,946.7239,1840.7477
2026-01-07 23:15:00,1767827700.0,1829.9367,946.8703,1834.5774
2026-01-07 23:45:00,1767829500.0,1819.3817,947.2227,1825.1453
2026-01-08 00:15:00,1767831300.0,1815.7000,947.5232,1822.4309
2026-01-08 00:45:00,1767833100.0,1817.1883,947.7404,1824.6332
2026-01-08 01:15:00,1767834900.0,1818.8567,948.2017,1827.8154
2026-01-08 01:45:00,1767836700.0,1814.8817,948.4899,1824.7610
2026-01-08 02:15:00,1767838500.0,1814.8933,948.8806,1826.0478
2026-01-08 02:45:00,1767840300.0,1815.4333,948.9462,1826.8053
2026-01-08 03:15:00,1767842100.0,1816.1517,948.8642,1827.2604
2026-01-08 03:45:00,1767843900.0,1818.7150,948.5167,1828.7028
2026-01-08 04:15:00,1767845700.0,1823.4450,948.2525,1832.5927
2026-01-08 04:45:00,1767847500.0,1827.2250,947.9578,1835.4243
2026-01-08 05:15:00,1767849300.0,1828.3633,947.8672,1836.2702
2026-01-08 05:45:00,1767851100.0,1835.2100,947.5802,1842.2012
2026-01-08 06:15:00,1767852900.0,1832.2567,947.6178,1839.3602
2026-01-08 06:45:00,1767854700.0,1840.4500,947.6462,1847.6789
2026-01-08 07:15:00,1767856500.0,1850.4733,947.6560,1857.7743
2026-01-08 07:45:00,1767858300.0,1857.8200,947.7187,1865.3590
2026-01-08 08:15:00,1767860100.0,1865.5533,947.8305,1873.4982
2026-01-08 08:45:00,1767861900.0,1856.8780,948.1374,1865.8096
2026-01-08 09:15:00,1767863700.0,1801.4867,948.2566,1810.5376
2026-01-08 09:45:00,1767865500.0,1839.8250,948.5073,1849.8974
2026-01-08 10:15:00,1767867300.0,1854.8133,948.8074,1865.9689
2026-01-08 10:45:00,1767869100.0,1858.1083,948.7777,1869.1844
2026-01-08 11:15:00,1767870900.0,1862.9950,948.6997,1873.8389
2026-01-08 11:45:00,1767872700.0,1877.1417,948.7650,1888.2883
2026-01-08 12:15:00,1767874500.0,1883.3050,948.8721,1894.8510
2026-01-08 12:45:00,1767876300.0,1887.5633,948.8366,1899.0150
2026-01-08 13:15:00,1767878100.0,1890.4433,948.8429,1901.9337
2026-01-08 13:45:00,1767879900.0,1889.3233,948.6512,1900.1556
2026-01-08 14:15:00,1767881700.0,1892.1183,948.2767,1901.6930
2026-01-08 14:45:00,1767883500.0,1896.8167,948.0477,1905.6347
2026-01-08 15:15:00,1767885300.0,1896.8400,947.6991,1904.4707
2026-01-08 15:45:00,1767887100.0,1897.5383,947.4713,1904.3961
2026-01-08 16:15:00,1767888900.0,1894.2983,947.2004,1900.2236
2026-01-08 16:45:00,1767890700.0,1902.6200,946.7782,1907.1312
2026-01-08 17:15:00,1767892500.0,1902.7033,946.3426,1905.7299
2026-01-08 17:45:00,1767894300.0,1901.5483,945.9260,1903.1550
2026-01-08 18:15:00,1767896100.0,1904.0567,945.3898,1903.8392
2026-01-08 18:45:00,1767897900.0,1904.4867,945.1919,1903.5956
2026-01-08 19:15:00,1767899700.0,1896.0683,944.7976,1893.8456
2026-01-08 19:45:00,1767901500.0,1885.6650,944.5993,1882.7866
2026-01-08 20:15:00,1767903300.0,1883.2617,944.6462,1880.5447
2026-01-08 20:45:00,1767905100.0,1875.3433,944.7794,1873.0839
2026-01-08 21:15:00,1767906900.0,1857.0420,945.1989,1856.1963
2026-01-08 21:45:00,1767908700.0,1797.6425,945.5468,1797.9419
2026-01-08 22:15:00,1767910500.0,1813.7950,945.6288,1814.3630
2026-01-08 22:45:00,1767912300.0,1809.2600,946.3164,1812.0530
2026-01-08 23:15:00,1767914100.0,1808.9180,946.7400,1813.0830
2026-01-08 23:45:00,1767915900.0,1838.3317,947.7313,1845.8333
2026-01-09 00:15:00,1767917700.0,1826.0817,948.2679,1835.2932
2026-01-09 00:45:00,1767919500.0,1821.5183,948.2627,1830.6899
2026-01-09 01:15:00,1767921300.0,1838.9660,948.2820,1848.2890
2026-01-09 01:45:00,1767923100.0,1844.8417,948.5107,1854.9530
2026-01-09 02:15:00,1767924900.0,1841.7717,948.6599,1852.3601
2026-01-09 02:45:00,1767926700.0,1836.6800,948.4712,1846.6162
2026-01-09 03:15:00,1767928500.0,1842.0467,948.4916,1852.0793
2026-01-09 03:45:00,1767930300.0,1840.4550,948.0196,1848.9179
2026-01-09 04:15:00,1767932100.0,1837.1983,947.6790,1844.5229
2026-01-09 04:45:00,1767933900.0,1842.0783,947.7010,1849.4950
2026-01-09 05:15:00,1767935700.0,1846.0533,947.8036,1853.8259
2026-01-09 05:45:00,1767937500.0,1840.1717,947.7297,1847.6753
2026-01-09 06:15:00,1767939300.0,1846.2533,947.6466,1853.5063
2026-01-09 06:45:00,1767941100.0,1842.0050,947.6919,1849.3911
2026-01-09 07:15:00,1767942900.0,1838.3150,947.5484,1845.2129
2026-01-09 07:45:00,1767944700.0,1835.9750,947.4472,1842.5307
2026-01-09 08:15:00,1767946500.0,1849.0350,947.5693,1856.0427
2026-01-09 08:45:00,1767948300.0,1857.6050,948.0770,1866.3385
2026-01-09 09:15:00,1767950100.0,1852.2733,948.1908,1861.3602
2026-01-09 09:45:00,1767951900.0,1842.9400,948.2932,1852.3203
